ingredient,raw,n_sources,herb_hits,mapped,CHP_ID,chinese,english,how,note,formula_n,has_props,review_needed,review_note,ambiguous,alt_candidates,norm_how
카라멜,카라멜,1,1,N,,,,실패,,0,N,N,,N,,원형
당밀,당밀,1,1,N,,,,실패,,0,N,N,,N,,원형
장미꽃잎,장미꽃잎,1,1,N,,,,실패,,0,N,N,,N,,원형
카레가루,카레가루,1,1,N,,,,실패,,0,N,N,,N,,원형
파프리카가루,파프리카가루,1,1,N,,,,실패,,0,N,N,,N,,원형
머스터드,머스터드,1,1,Y,CHP01898,芥子,Mustard Seed,한자사전,머스터드→芥子,21,Y,N,,N,,원형
차이브,차이브,1,1,N,,,,실패,,0,N,N,,N,,원형
가람마살라,가람마살라,1,1,N,,,,실패,,0,N,N,,N,,원형
해선장,해선장,1,1,N,,,,실패,,0,N,N,,N,,원형
홍피망,홍피망,1,1,N,,,,실패,,0,N,N,,N,,원형
